법정동코드,category_group_code,count
1111013200,CE7,1
1111013200,HP8,0
1111013200,PM9,0
1111013300,CS2,4
1111013300,MT1,0
1111013300,PK6,3
1111013300,BK9,1
1111013300,FD6,6
1111013300,CE7,12
1111013300,HP8,0
1111013300,PM9,0
1111013400,CS2,1
1111013400,MT1,0
1111013400,PK6,3
1111013400,BK9,0
1111013400,FD6,0
1111013400,CE7,0
1111013400,HP8,4
1111013400,PM9,2
1111013500,CS2,9
1111013500,MT1,0
1111013500,PK6,3
1111013500,BK9,0
1111013500,FD6,12
1111013500,CE7,10
1111013500,HP8,3
1111013500,PM9,4
1111013600,CS2,1
1111013600,MT1,0
1111013600,PK6,3
1111013600,BK9,3
1111013600,FD6,5
1111013600,CE7,1
1111013600,HP8,1
1111013600,PM9,0
1111013700,CS2,6
1111013700,MT1,0
1111013700,PK6,9
1111013700,BK9,0
1111013700,FD6,8
1111013700,CE7,4
1111013700,HP8,1
1111013700,PM9,0
1111013800,CS2,2
1111013800,MT1,0
1111013800,PK6,1
1111013800,BK9,2
1111013800,FD6,0
1111013800,CE7,3
1111013800,HP8,6
1111013800,PM9,2
1111013900,CS2,1
1111013900,MT1,0
1111013900,PK6,0
1111013900,BK9,0
1111013900,FD6,3
1111013900,CE7,3
1111013900,HP8,0
1111013900,PM9,0
1111014000,CS2,2
1111014000,MT1,0
1111014000,PK6,8
1111014000,BK9,6
1111014000,FD6,18
1111014000,CE7,15
1111014000,HP8,1
1111014000,PM9,0
1111014100,CS2,0
1111014100,MT1,0
1111014100,PK6,2
1111014100,BK9,5
1111014100,FD6,3
1111014100,CE7,8
1111014100,HP8,4
1111014100,PM9,1
1111014200,CS2,1
1111014200,MT1,0
1111014200,PK6,2
1111014200,BK9,2
1111014200,FD6,6
1111014200,CE7,8
1111014200,HP8,1
1111014200,PM9,1
1111014300,CS2,1
1111014300,MT1,0
1111014300,PK6,3
1111014300,BK9,0
1111014300,FD6,1
1111014300,CE7,2
1111014300,HP8,0
1111014300,PM9,0
1111014400,CS2,1
1111014400,MT1,0
1111014400,PK6,1
1111014400,BK9,0
1111014400,FD6,4
1111014400,CE7,3
1111014400,HP8,0
1111014400,PM9,0
1111014500,CS2,0
1111014500,MT1,0
1111014500,PK6,0
1111014500,BK9,0
1111014500,FD6,0
1111014500,CE7,0
1111014500,HP8,0
1111014500,PM9,0
1111014600,CS2,1
1111014600,MT1,0
1111014600,PK6,1
1111014600,BK9,1
1111014600,FD6,3
1111014600,CE7,4
1111014600,HP8,0
1111014600,PM9,0
1111014700,CS2,2
1111014700,MT1,0
1111014700,PK6,0
1111014700,BK9,2
1111014700,FD6,5
1111014700,CE7,6
1111014700,HP8,0
1111014700,PM9,1
1111014800,CS2,2
1111014800,MT1,0
1111014800,PK6,2
1111014800,BK9,10
1111014800,FD6,13
1111014800,CE7,6
1111014800,HP8,1
1111014800,PM9,0
1111014900,CS2,2
1111014900,MT1,0
1111014900,PK6,3
1111014900,BK9,1
1111014900,FD6,4
1111014900,CE7,5
1111014900,HP8,0
1111014900,PM9,0
1111015000,CS2,0
1111015000,MT1,0
1111015000,PK6,1
1111015000,BK9,0
1111015000,FD6,0
1111015000,CE7,0
1111015000,HP8,0
1111015000,PM9,0
1111015100,CS2,3
1111015100,MT1,0
1111015100,PK6,0
1111015100,BK9,4
1111015100,FD6,1
1111015100,CE7,0
1111015100,HP8,1
1111015100,PM9,1
1111015200,CS2,1
1111015200,MT1,0
1111015200,PK6,0
1111015200,BK9,0
1111015200,FD6,0
1111015200,CE7,0
1111015200,HP8,0
1111015200,PM9,0
1111015300,CS2,1
1111015300,MT1,0
1111015300,PK6,1
1111015300,BK9,2
1111015300,FD6,5
1111015300,CE7,2
1111015300,HP8,0
1111015300,PM9,0
1111015400,CS2,0
1111015400,MT1,0
1111015400,PK6,2
1111015400,BK9,1
1111015400,FD6,3
1111015400,CE7,1
1111015400,HP8,0
1111015400,PM9,0
1111015500,CS2,5
1111015500,MT1,0
1111015500,PK6,5
1111015500,BK9,0
1111015500,FD6,6
1111015500,CE7,1
1111015500,HP8,1
1111015500,PM9,0
1111015600,CS2,3
1111015600,MT1,0
1111015600,PK6,0
1111015600,BK9,3
1111015600,FD6,3
1111015600,CE7,2
1111015600,HP8,14
1111015600,PM9,6
1111015700,CS2,2
1111015700,MT1,0
1111015700,PK6,4
1111015700,BK9,4
1111015700,FD6,0
1111015700,CE7,3
1111015700,HP8,0
1111015700,PM9,0
1111015800,CS2,1
1111015800,MT1,0
1111015800,PK6,3
1111015800,BK9,3
1111015800,FD6,1
1111015800,CE7,3
1111015800,HP8,0
1111015800,PM9,0
1111015900,CS2,2
1111015900,MT1,0
1111015900,PK6,2
1111015900,BK9,1
1111015900,FD6,3
1111015900,CE7,3
1111015900,HP8,0
1111015900,PM9,4
1111016000,CS2,3
1111016000,MT1,0
1111016000,PK6,6
1111016000,BK9,5
1111016000,FD6,1
1111016000,CE7,3
1111016000,HP8,2
1111016000,PM9,0
1111016100,CS2,2
1111016100,MT1,0
1111016100,PK6,1
1111016100,BK9,6
1111016100,FD6,8
1111016100,CE7,3
1111016100,HP8,4
1111016100,PM9,10
1111016200,CS2,5
1111016200,MT1,0
1111016200,PK6,4
1111016200,BK9,0
1111016200,FD6,6
1111016200,CE7,3
1111016200,HP8,2
1111016200,PM9,0
1111016300,CS2,5
1111016300,MT1,0
1111016300,PK6,3
1111016300,BK9,4
1111016300,FD6,13
1111016300,CE7,10
1111016300,HP8,20
1111016300,PM9,24
1111016400,CS2,3
1111016400,MT1,0
1111016400,PK6,6
1111016400,BK9,7
1111016400,FD6,6
1111016400,CE7,7
1111016400,HP8,6
1111016400,PM9,4
1111016500,CS2,2
1111016500,MT1,0
1111016500,PK6,1
1111016500,BK9,0
1111016500,FD6,0
1111016500,CE7,6
1111016500,HP8,1
1111016500,PM9,0
1111016600,CS2,9
1111016600,MT1,0
1111016600,PK6,11
1111016600,BK9,18
1111016600,FD6,3
1111016600,CE7,6
1111016600,HP8,14
1111016600,PM9,9
1111016700,CS2,3
1111016700,MT1,0
1111016700,PK6,0
1111016700,BK9,1
1111016700,FD6,0
1111016700,CE7,4
1111016700,HP8,0
1111016700,PM9,0
1111016800,CS2,8
1111016800,MT1,1
1111016800,PK6,21
1111016800,BK9,7
1111016800,FD6,22
1111016800,CE7,24
1111016800,HP8,7
1111016800,PM9,1
1111016900,CS2,4
1111016900,MT1,0
1111016900,PK6,4
1111016900,BK9,6
1111016900,FD6,5
1111016900,CE7,7
1111016900,HP8,10
1111016900,PM9,4
1111017000,CS2,4
1111017000,MT1,1
1111017000,PK6,3
1111017000,BK9,2
1111017000,FD6,4
1111017000,CE7,2
1111017000,HP8,4
1111017000,PM9,1
1111017100,CS2,4
1111017100,MT1,1
1111017100,PK6,7
1111017100,BK9,7
1111017100,FD6,10
1111017100,CE7,5
1111017100,HP8,3
1111017100,PM9,0
1111017200,CS2,4
1111017200,MT1,0
1111017200,PK6,3
1111017200,BK9,3
1111017200,FD6,23
1111017200,CE7,20
1111017200,HP8,2
1111017200,PM9,6
1111017300,CS2,8
1111017300,MT1,0
1111017300,PK6,12
1111017300,BK9,8
1111017300,FD6,5
1111017300,CE7,13
1111017300,HP8,0
1111017300,PM9,0
1111017400,CS2,19
1111017400,MT1,0
1111017400,PK6,21
1111017400,BK9,19
1111017400,FD6,32
1111017400,CE7,21
1111017400,HP8,26
1111017400,PM9,10
1111017500,CS2,21
1111017500,MT1,1
1111017500,PK6,14
1111017500,BK9,8
1111017500,FD6,15
1111017500,CE7,17
1111017500,HP8,13
1111017500,PM9,8
1111017600,CS2,0
1111017600,MT1,0
1111017600,PK6,0
1111017600,BK9,0
1111017600,FD6,0
1111017600,CE7,0
1111017600,HP8,2
1111017600,PM9,1
1111017700,CS2,5
1111017700,MT1,0
1111017700,PK6,6
1111017700,BK9,5
1111017700,FD6,3
1111017700,CE7,7
1111017700,HP8,6
1111017700,PM9,9
1111017800,CS2,1
1111017800,MT1,0
1111017800,PK6,0
1111017800,BK9,0
1111017800,FD6,0
1111017800,CE7,0
1111017800,HP8,0
1111017800,PM9,0
1111017900,CS2,0
1111017900,MT1,0
1111017900,PK6,0
1111017900,BK9,0
1111017900,FD6,0
1111017900,CE7,0
1111017900,HP8,2
1111017900,PM9,0
1111018000,CS2,2
1111018000,MT1,0
1111018000,PK6,1
1111018000,BK9,3
1111018000,FD6,2
1111018000,CE7,5
1111018000,HP8,5
1111018000,PM9,2
1111018100,CS2,3
1111018100,MT1,0
1111018100,PK6,4
1111018100,BK9,0
1111018100,FD6,5
1111018100,CE7,2
1111018100,HP8,0
1111018100,PM9,0
1111018200,CS2,0
1111018200,MT1,0
1111018200,PK6,2
1111018200,BK9,1
1111018200,FD6,1
1111018200,CE7,1
1111018200,HP8,0
1111018200,PM9,0
1111018300,CS2,3
1111018300,MT1,1
1111018300,PK6,7
1111018300,BK9,11
1111018300,FD6,38
1111018300,CE7,27
1111018300,HP8,6
1111018300,PM9,2
1111018400,CS2,4
1111018400,MT1,0
1111018400,PK6,10
1111018400,BK9,2
1111018400,FD6,37
1111018400,CE7,29
1111018400,HP8,1
1111018400,PM9,0
1111018500,CS2,5
1111018500,MT1,0
1111018500,PK6,5
1111018500,BK9,4
1111018500,FD6,17
1111018500,CE7,9
1111018500,HP8,2
1111018500,PM9,0
1111018600,CS2,3
1111018600,MT1,0
1111018600,PK6,2
1111018600,BK9,4
1111018600,FD6,8
1111018600,CE7,6
1111018600,HP8,1
1111018600,PM9,1
1111018700,CS2,4
1111018700,MT1,1
1111018700,PK6,4
1111018700,BK9,5
1111018700,FD6,21
1111018700,CE7,10
1111018700,HP8,6
1111018700,PM9,3
1111090100,CS2,0
1111090100,MT1,0
1111090100,PK6,0
1111090100,BK9,0
1111090100,FD6,0
1111090100,CE7,0
1111090100,HP8,0
1111090100,PM9,0
1111090200,CS2,0
1111090200,MT1,0
1111090200,PK6,0
1111090200,BK9,0
1111090200,FD6,0
1111090200,CE7,0
1111090200,HP8,0
1111090200,PM9,0
1111090300,CS2,0
1111090300,MT1,0
1111090300,PK6,0
1111090300,BK9,0
1111090300,FD6,0
1111090300,CE7,0
1111090300,HP8,0
1111090300,PM9,0
1111090400,CS2,0
1111090400,MT1,0
1111090400,PK6,0
1111090400,BK9,0
1111090400,FD6,0
1111090400,CE7,0
1111090400,HP8,0
1111090400,PM9,0
1111090500,CS2,0
1111090500,MT1,0
1111090500,PK6,0
1111090500,BK9,0
1111090500,FD6,0
1111090500,CE7,0
1111090500,HP8,0
1111090500,PM9,0
1114010100,CS2,3
1114010100,MT1,0
1114010100,PK6,0
1114010100,BK9,4
1114010100,FD6,8
1114010100,CE7,3
1114010100,HP8,5
1114010100,PM9,2
1114010200,CS2,3
1114010200,MT1,0
1114010200,PK6,5
1114010200,BK9,3
1114010200,FD6,8
1114010200,CE7,1
1114010200,HP8,0
1114010200,PM9,1
1114010300,CS2,4
1114010300,MT1,0
1114010300,PK6,7
1114010300,BK9,5
1114010300,FD6,3
1114010300,CE7,3
1114010300,HP8,1
1114010300,PM9,1
1114010400,CS2,3
1114010400,MT1,0
1114010400,PK6,2
1114010400,BK9,4
1114010400,FD6,2
1114010400,CE7,2
1114010400,HP8,1
1114010400,PM9,1
1114010500,CS2,5
1114010500,MT1,0
1114010500,PK6,4
1114010500,BK9,7
1114010500,FD6,4
1114010500,CE7,5
1114010500,HP8,14
1114010500,PM9,7
1114010600,CS2,1
1114010600,MT1,0
1114010600,PK6,0
1114010600,BK9,1
1114010600,FD6,0
1114010600,CE7,0
1114010600,HP8,0
1114010600,PM9,0
1114010700,CS2,0
1114010700,MT1,0
1114010700,PK6,1
1114010700,BK9,1
1114010700,FD6,0
1114010700,CE7,0
1114010700,HP8,1
1114010700,PM9,1
1114010800,CS2,2
1114010800,MT1,0
1114010800,PK6,0
1114010800,BK9,1
1114010800,FD6,1
1114010800,CE7,1
1114010800,HP8,1
1114010800,PM9,2
1114010900,CS2,1
1114010900,MT1,0
1114010900,PK6,0
1114010900,BK9,1
1114010900,FD6,0
1114010900,CE7,0
1114010900,HP8,0
1114010900,PM9,0
1114011000,CS2,2
1114011000,MT1,0
1114011000,PK6,4
1114011000,BK9,0
1114011000,FD6,0
1114011000,CE7,2
1114011000,HP8,0
1114011000,PM9,0
1114011100,CS2,5
1114011100,MT1,0
1114011100,PK6,4
1114011100,BK9,1
1114011100,FD6,2
1114011100,CE7,2
1114011100,HP8,1
1114011100,PM9,2
1114011200,CS2,4
1114011200,MT1,0
